Business ID,Annual Revenue,Loan Amount,GST Compliance (%),Past Defaults,Bank Transactions,Market Trend,Credit Score,financial_health,repayment_history,credit_utilization,industry_risk
10001,2900000,960000,70,0,Low Volume,2,650,46.57142857,100,33.10344828,70
10002,3700000,730000,75,0,Low Volume,0,583,51.85714286,100,19.72972973,50
10003,5000000,130000,70,0,Low Volume,1,667,52.57142857,100,2.6,90
10004,7600000,1540000,80,0,Unstable,1,850,66,100,20.26315789,90
10005,6600000,1260000,100,0,Low Volume,2,664,75.14285714,100,19.09090909,70
10006,4600000,330000,70,0,Unstable,2,627,51.42857143,100,7.173913043,70
10007,6700000,2870000,95,0,Low Volume,1,690,72.42857143,100,42.8358209,90
10008,4500000,1690000,70,0,Low Volume,0,706,51.14285714,100,37.55555556,50
10009,3200000,520000,65,2,Low Volume,1,569,44.42857143,60,16.25,90
10010,5000000,1150000,90,0,High Volume,0,650,64.57142857,100,23,50
10011,3200000,1510000,95,0,High Volume,1,850,62.42857143,100,47.1875,90
10012,6300000,1150000,95,0,Low Volume,1,632,71.28571429,100,18.25396825,90
10013,6400000,1100000,60,0,Low Volume,1,630,50.57142857,100,17.1875,90
10014,3800000,410000,75,0,Unstable,1,715,52.14285714,100,10.78947368,90
10015,5200000,520000,90,0,Unstable,2,554,65.14285714,100,10,70
10016,5200000,600000,80,2,Low Volume,2,641,59.14285714,60,11.53846154,70
10017,6500000,0,65,0,High Volume,2,635,53.85714286,100,0,70
10018,3400000,2300000,85,0,Low Volume,2,710,57,100,67.64705882,70
10019,6000000,750000,70,0,Low Volume,1,770,55.42857143,100,12.5,90
10020,3400000,670000,100,0,Low Volume,1,703,66,100,19.70588235,90
10021,6300000,1750000,100,0,Low Volume,0,569,74.28571429,100,27.77777778,50
10022,6900000,580000,90,0,Unstable,0,582,70,100,8.405797101,50
10023,4100000,930000,100,0,Low Volume,1,711,68,100,22.68292683,90
10024,7200000,110000,80,0,High Volume,2,803,64.85714286,100,1.527777778,70
10025,3100000,1710000,90,0,Unstable,2,612,59.14285714,100,55.16129032,70
10026,7000000,400000,100,0,Low Volume,1,798,76.28571429,100,5.714285714,90
10027,7700000,310000,85,0,Low Volume,2,729,69.28571429,100,4.025974026,70
10028,5500000,900000,75,0,High Volume,2,766,57,100,16.36363636,70
10029,4700000,1280000,55,0,Low Volume,1,601,42.71428571,100,27.23404255,90
10030,5500000,890000,80,0,Low Volume,1,703,60,100,16.18181818,90
10031,4200000,300000,90,0,Low Volume,2,687,62.28571429,100,7.142857143,70
10032,11000000,3420000,95,0,Low Volume,1,685,84.71428571,100,31.09090909,90
10033,4200000,1370000,90,0,Unstable,1,735,62.28571429,100,32.61904762,90
10034,7400000,840000,70,0,High Volume,2,785,59.42857143,100,11.35135135,70
10035,4000000,1870000,50,0,Low Volume,2,684,37.71428571,100,46.75,70
10036,8100000,1360000,75,0,High Volume,1,642,64.42857143,100,16.79012346,90
10037,9100000,2260000,75,0,Unstable,0,621,67.28571429,100,24.83516484,50
10038,5600000,300000,75,0,Low Volume,2,772,57.28571429,100,5.357142857,70
10039,5400000,1050000,90,0,Low Volume,1,850,65.71428571,100,19.44444444,90
10040,3800000,1290000,100,0,Unstable,2,474,67.14285714,100,33.94736842,70
10041,3600000,1670000,80,0,Unstable,2,571,54.57142857,100,46.38888889,70
10042,5500000,170000,75,0,Low Volume,1,670,57,100,3.090909091,90
10043,7700000,880000,75,0,Low Volume,2,826,63.28571429,100,11.42857143,70
10044,4200000,520000,80,0,Low Volume,2,438,56.28571429,100,12.38095238,70
10045,9700000,790000,70,0,Low Volume,2,566,66,100,8.144329897,70
10046,4200000,1140000,80,0,High Volume,2,817,56.28571429,100,27.14285714,70
10047,5400000,0,85,0,Low Volume,2,640,62.71428571,100,0,70
10048,5400000,1500000,85,0,Low Volume,1,554,62.71428571,100,27.77777778,90
10049,4800000,1780000,85,0,Low Volume,2,798,61,100,37.08333333,70
10050,2700000,450000,85,0,Unstable,2,464,55,100,16.66666667,70
10051,4200000,1560000,55,0,Low Volume,2,686,41.28571429,100,37.14285714,70
10052,5300000,1010000,90,0,Low Volume,2,521,65.42857143,100,19.05660377,70
10053,4900000,890000,70,0,Unstable,2,442,52.28571429,100,18.16326531,70
10054,6100000,1110000,65,0,High Volume,0,657,52.71428571,100,18.19672131,50
10055,6300000,600000,65,0,Low Volume,1,582,53.28571429,100,9.523809524,90
10056,4700000,640000,85,1,Low Volume,1,672,60.71428571,80,13.61702128,90
10057,3700000,980000,75,0,Low Volume,1,837,51.85714286,100,26.48648649,90
10058,8000000,890000,55,0,High Volume,1,668,52.14285714,100,11.125,90
10059,3300000,1060000,85,1,Low Volume,2,757,56.71428571,80,32.12121212,70
10060,4200000,1170000,60,0,Low Volume,1,661,44.28571429,100,27.85714286,90
10061,3900000,690000,80,0,Low Volume,1,772,55.42857143,100,17.69230769,90
10062,6300000,1400000,85,0,Low Volume,1,459,65.28571429,100,22.22222222,90
10063,7400000,530000,95,0,High Volume,2,803,74.42857143,100,7.162162162,70
10064,4700000,200000,100,0,Low Volume,0,733,69.71428571,100,4.255319149,50
10065,5400000,1890000,60,0,Low Volume,2,566,47.71428571,100,35,70
